# Time (s), Lath thickness (um)
5.459856000000005150e-01,3.295483496134815060e-01
5.460399999999999698e-01,3.295483523957894456e-01
5.461789999999999701e-01,3.295483594966714391e-01
5.463179999999999703e-01,3.295483665892378067e-01
5.464569999999999705e-01,3.295483736734968194e-01
5.465959999999999708e-01,3.295483807494569151e-01
5.467349999999999710e-01,3.295483878171263648e-01
5.468739999999999712e-01,3.295483948765134952e-01
5.470129999999999715e-01,3.295484019276266330e-01
5.471519999999999717e-01,3.295484089704741049e-01
5.472909999999999719e-01,3.295484160050641820e-01
5.474299999999999722e-01,3.295484230314051910e-01
5.475689999999999724e-01,3.295484300495054031e-01
5.477079999999999727e-01,3.295484370593731449e-01
5.478469999999999729e-01,3.295484440610166321e-01
5.479859999999999731e-01,3.295484510544441359e-01
5.479899999999999771e-01,3.295484512556870471e-01
5.481302000000000119e-01,3.295484583012035507e-01
5.482704000000000466e-01,3.295484653386803187e-01
5.484106000000000813e-01,3.295484723681252892e-01
5.485508000000001161e-01,3.295484793895462339e-01
5.486910000000001508e-01,3.295484864029510352e-01
5.488312000000001856e-01,3.295484934083475759e-01
5.489714000000002203e-01,3.295485004057436274e-01
5.491116000000002551e-01,3.295485073951470167e-01
5.492518000000002898e-01,3.295485143765656266e-01
5.493920000000003245e-01,3.295485213500072841e-01
5.495322000000003593e-01,3.295485283154797052e-01
5.496724000000003940e-01,3.295485352729907724e-01
5.498126000000004288e-01,3.295485422225482575e-01
5.499528000000004635e-01,3.295485491641599873e-01
5.500000000000000444e-01,3.295485515002362642e-01
5.501404000000000849e-01,3.295485584411912416e-01
5.502808000000001254e-01,3.295485653742717402e-01
5.504212000000001659e-01,3.295485722994854205e-01
5.505616000000002064e-01,3.295485792168399986e-01
5.507020000000002469e-01,3.295485861263430238e-01
5.508424000000002874e-01,3.295485930280022124e-01
5.509828000000003279e-01,3.295485999218251694e-01
5.511232000000003683e-01,3.295486068078195552e-01
5.512636000000004088e-01,3.295486136859929194e-01
5.514040000000004493e-01,3.295486205563529225e-01
5.515444000000004898e-01,3.295486274189071696e-01
5.516848000000005303e-01,3.295486342736632657e-01
5.518252000000005708e-01,3.295486411206288158e-01
5.519656000000006113e-01,3.295486479598113694e-01
5.520199999999999552e-01,3.295486506085834044e-01
5.521601999999999899e-01,3.295486574272492586e-01
5.523004000000000246e-01,3.295486642381577069e-01
5.524406000000000594e-01,3.295486710413163545e-01
5.525808000000000941e-01,3.295486778367326952e-01
5.527210000000001289e-01,3.295486846244143342e-01
5.528612000000001636e-01,3.295486914043687654e-01
5.530014000000001984e-01,3.295486981766035384e-01
5.531416000000002331e-01,3.295487049411262581e-01
5.532818000000002678e-01,3.295487116979443631e-01
5.534220000000003026e-01,3.295487184470654030e-01
5.535622000000003373e-01,3.295487251884969271e-01
5.537024000000003721e-01,3.295487319222464295e-01
5.538426000000004068e-01,3.295487386483214598e-01
5.539828000000004415e-01,3.295487453667294564e-01
5.540300000000000225e-01,3.295487476276930949e-01
5.541704000000000629e-01,3.295487543454792001e-01
5.543108000000001034e-01,3.295487610556500080e-01
5.544512000000001439e-01,3.295487677582129571e-01
5.545916000000001844e-01,3.295487744531753749e-01
5.547320000000002249e-01,3.295487811405446998e-01
5.548724000000002654e-01,3.295487878203283150e-01
5.550128000000003059e-01,3.295487944925335477e-01
5.551532000000003464e-01,3.295488011571678366e-01
5.552936000000003869e-01,3.295488078142385091e-01
5.554340000000004274e-01,3.295488144637529482e-01
5.555744000000004679e-01,3.295488211057184813e-01
5.557148000000005084e-01,3.295488277401424915e-01
5.558552000000005489e-01,3.295488343670323061e-01
5.559956000000005893e-01,3.295488409863952528e-01
5.560500000000000442e-01,3.295488435500333879e-01
5.561890000000000445e-01,3.295488500928904774e-01
5.563280000000000447e-01,3.295488566281397080e-01
5.564670000000000449e-01,3.295488631557886294e-01
5.566060000000000452e-01,3.295488696758448466e-01
5.567450000000000454e-01,3.295488761883159645e-01
5.568840000000000456e-01,3.295488826932095328e-01
